Audio File : whispy\mar_07\030723_meeting.wav             
Pipeline : pyannote/speaker-diarization
                  
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting diarization...          
 Time : 04:17:14          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
                
[ 00:08:40.551 -->  00:08:40.804] OS SPEAKER_07
[ 00:08:44.196 -->  00:08:46.947] OT SPEAKER_07
[ 00:08:54.760 -->  00:08:55.317] CE SPEAKER_01
[ 00:08:57.797 -->  00:08:57.848] FR SPEAKER_03
[ 00:08:58.742 -->  00:09:07.146] DI SPEAKER_02
[ 00:09:03.349 -->  00:09:04.463] FS SPEAKER_03
[ 00:09:06.437 -->  00:09:11.399] FT SPEAKER_03
[ 00:09:08.547 -->  00:09:20.460] DJ SPEAKER_02
[ 00:09:10.943 -->  00:09:12.546] OU SPEAKER_07
[ 00:09:11.112 -->  00:09:11.466] MJ SPEAKER_06
[ 00:09:12.377 -->  00:09:12.462] MK SPEAKER_06
[ 00:09:19.515 -->  00:09:38.618] KZ SPEAKER_05
[ 00:09:23.228 -->  00:09:25.067] L SPEAKER_00
[ 00:09:36.694 -->  00:09:36.914] ML SPEAKER_06
[ 00:09:36.914 -->  00:09:36.981] OV SPEAKER_07
[ 00:09:38.618 -->  00:09:48.507] CF SPEAKER_01
[ 00:09:40.491 -->  00:09:41.588] MM SPEAKER_06
[ 00:09:40.508 -->  00:09:40.947] M SPEAKER_00
[ 00:09:41.959 -->  00:09:42.060] N SPEAKER_00
[ 00:09:43.461 -->  00:09:43.495] OW SPEAKER_07
[ 00:09:43.495 -->  00:09:44.659] O SPEAKER_00
[ 00:09:48.507 -->  00:09:54.447] DK SPEAKER_02
[ 00:09:50.987 -->  00:09:51.342] MN SPEAKER_06
[ 00:09:56.809 -->  00:09:56.860] CG SPEAKER_01
[ 00:09:56.860 -->  00:10:05.669] DL SPEAKER_02
[ 00:10:02.867 -->  00:10:02.918] OX SPEAKER_07
[ 00:10:02.918 -->  00:10:03.188] MO SPEAKER_06
[ 00:10:06.242 -->  00:10:09.060] FU SPEAKER_03
[ 00:10:07.204 -->  00:10:11.035] DM SPEAKER_02
[ 00:10:11.035 -->  00:10:20.670] MP SPEAKER_06
[ 00:10:19.894 -->  00:10:26.847] DN SPEAKER_02
[ 00:10:22.139 -->  00:10:22.594] MQ SPEAKER_06
[ 00:10:29.564 -->  00:10:30.492] MR SPEAKER_06
[ 00:10:31.099 -->  00:10:31.994] MS SPEAKER_06
[ 00:10:35.689 -->  00:10:40.549] FV SPEAKER_03
[ 00:10:40.954 -->  00:10:41.781] CH SPEAKER_01
[ 00:10:41.714 -->  00:10:48.497] FW SPEAKER_03
[ 00:10:42.861 -->  00:10:44.262] CI SPEAKER_01
[ 00:10:46.894 -->  00:10:49.982] CJ SPEAKER_01
[ 00:10:54.960 -->  00:11:02.183] CK SPEAKER_01
[ 00:10:57.525 -->  00:10:59.685] MT SPEAKER_06
[ 00:11:02.740 -->  00:11:03.044] MU SPEAKER_06
[ 00:11:05.305 -->  00:11:05.845] MV SPEAKER_06
[ 00:11:05.339 -->  00:11:05.457] DO SPEAKER_02
[ 00:11:05.457 -->  00:11:06.807] FX SPEAKER_03
[ 00:11:06.284 -->  00:11:06.300] DP SPEAKER_02
[ 00:11:08.224 -->  00:11:11.987] FY SPEAKER_03
[ 00:11:12.308 -->  00:11:12.831] CL SPEAKER_01
[ 00:11:16.459 -->  00:11:23.564] CM SPEAKER_01
[ 00:11:22.095 -->  00:11:22.500] DQ SPEAKER_02
[ 00:11:27.951 -->  00:11:28.491] CN SPEAKER_01
[ 00:11:29.132 -->  00:11:29.959] OY SPEAKER_07
[ 00:11:30.567 -->  00:11:34.499] CO SPEAKER_01
[ 00:11:34.499 -->  00:11:36.456] FZ SPEAKER_03
[ 00:11:36.355 -->  00:11:37.890] CP SPEAKER_01
[ 00:11:37.890 -->  00:11:49.973] GA SPEAKER_03
[ 00:11:39.679 -->  00:11:40.675] CQ SPEAKER_01
[ 00:11:43.122 -->  00:11:43.442] CR SPEAKER_01
[ 00:11:43.442 -->  00:11:44.033] OZ SPEAKER_07
[ 00:11:50.310 -->  00:11:51.492] P SPEAKER_00
[ 00:11:52.150 -->  00:11:53.331] Q SPEAKER_00
[ 00:11:53.010 -->  00:11:56.132] JK SPEAKER_04
[ 00:11:54.360 -->  00:11:54.411] R SPEAKER_00
[ 00:11:54.411 -->  00:11:54.833] PA SPEAKER_07
[ 00:11:56.757 -->  00:11:59.355] JL SPEAKER_04
[ 00:12:00.030 -->  00:12:02.984] JM SPEAKER_04
[ 00:12:04.199 -->  00:12:13.919] JN SPEAKER_04
[ 00:12:14.104 -->  00:12:14.374] S SPEAKER_00
[ 00:12:15.657 -->  00:12:16.939] JO SPEAKER_04
[ 00:12:15.944 -->  00:12:20.449] T SPEAKER_00
[ 00:12:16.939 -->  00:12:17.074] LA SPEAKER_05
[ 00:12:20.449 -->  00:12:20.888] JP SPEAKER_04
[ 00:12:26.457 -->  00:12:26.811] JQ SPEAKER_04
[ 00:12:27.351 -->  00:12:29.697] CS SPEAKER_01
[ 00:12:28.262 -->  00:12:31.857] JR SPEAKER_04
[ 00:12:32.498 -->  00:12:34.084] JS SPEAKER_04
[ 00:12:35.940 -->  00:12:46.825] JT SPEAKER_04
[ 00:12:40.109 -->  00:12:40.125] PB SPEAKER_07
[ 00:12:44.547 -->  00:12:44.682] GB SPEAKER_03
[ 00:12:46.825 -->  00:12:49.491] GC SPEAKER_03
[ 00:12:50.959 -->  00:12:52.495] GD SPEAKER_03
[ 00:12:50.993 -->  00:12:53.997] JU SPEAKER_04
[ 00:12:57.456 -->  00:13:11.209] JV SPEAKER_04
[ 00:13:06.484 -->  00:13:07.007] U SPEAKER_00
[ 00:13:07.007 -->  00:13:08.357] LB SPEAKER_05
[ 00:13:11.125 -->  00:13:13.994] LC SPEAKER_05
[ 00:13:19.984 -->  00:13:20.980] LD SPEAKER_05
[ 00:13:20.980 -->  00:13:30.649] GE SPEAKER_03
[ 00:13:29.434 -->  00:13:36.184] JW SPEAKER_04
[ 00:13:33.906 -->  00:13:34.581] GF SPEAKER_03
[ 00:13:36.775 -->  00:13:40.842] JX SPEAKER_04
[ 00:13:39.711 -->  00:14:05.024] GG SPEAKER_03
[ 00:13:41.517 -->  00:13:43.019] DR SPEAKER_02
[ 00:14:00.552 -->  00:14:00.872] PC SPEAKER_07
[ 00:14:05.648 -->  00:14:06.981] GH SPEAKER_03
[ 00:14:07.622 -->  00:14:31.349] GI SPEAKER_03
[ 00:14:15.689 -->  00:14:16.245] V SPEAKER_00
[ 00:14:32.597 -->  00:14:32.614] GJ SPEAKER_03
[ 00:14:32.614 -->  00:14:43.127] JY SPEAKER_04
[ 00:14:41.322 -->  00:14:47.447] MW SPEAKER_06
[ 00:14:45.777 -->  00:14:50.012] JZ SPEAKER_04
[ 00:14:48.679 -->  00:14:48.949] MX SPEAKER_06
[ 00:14:50.012 -->  00:14:50.873] CT SPEAKER_01
[ 00:14:50.789 -->  00:14:51.480] KA SPEAKER_04
[ 00:14:50.839 -->  00:14:57.117] GK SPEAKER_03
[ 00:14:57.876 -->  00:14:58.872] GL SPEAKER_03
[ 00:14:58.146 -->  00:15:01.656] CU SPEAKER_01
[ 00:15:00.036 -->  00:15:07.613] W SPEAKER_00
[ 00:15:05.284 -->  00:15:10.937] LE SPEAKER_05
[ 00:15:07.613 -->  00:15:07.765] MY SPEAKER_06
[ 00:15:09.334 -->  00:15:11.950] MZ SPEAKER_06
[ 00:15:10.937 -->  00:15:13.806] GM SPEAKER_03
[ 00:15:14.819 -->  00:15:26.361] GN SPEAKER_03
[ 00:15:23.087 -->  00:15:23.459] KB SPEAKER_04
[ 00:15:27.559 -->  00:15:32.942] GO SPEAKER_03
[ 00:15:29.010 -->  00:15:29.449] PD SPEAKER_07
[ 00:15:33.820 -->  00:15:52.720] GP SPEAKER_03
[ 00:15:50.222 -->  00:16:03.435] KC SPEAKER_04
[ 00:15:54.306 -->  00:15:54.846] GQ SPEAKER_03
[ 00:16:02.912 -->  00:16:02.929] LF SPEAKER_05
[ 00:16:02.929 -->  00:16:08.987] GR SPEAKER_03
[ 00:16:03.435 -->  00:16:03.773] PE SPEAKER_07
[ 00:16:10.962 -->  00:16:13.949] GS SPEAKER_03
[ 00:16:12.480 -->  00:16:35.481] LG SPEAKER_05
[ 00:16:13.949 -->  00:16:14.100] NA SPEAKER_06
[ 00:16:15.484 -->  00:16:16.851] PF SPEAKER_07
[ 00:16:19.416 -->  00:16:22.943] X SPEAKER_00
[ 00:16:22.943 -->  00:16:23.010] GT SPEAKER_03
[ 00:16:25.542 -->  00:16:27.955] GU SPEAKER_03
[ 00:16:36.662 -->  00:16:42.231] Y SPEAKER_00
[ 00:16:37.000 -->  00:16:40.240] KD SPEAKER_04
[ 00:16:44.459 -->  00:16:52.289] Z SPEAKER_00
[ 00:16:46.905 -->  00:16:47.226] NB SPEAKER_06
[ 00:16:52.997 -->  00:16:54.449] AA SPEAKER_00
[ 00:16:54.449 -->  00:16:57.014] KE SPEAKER_04
[ 00:16:58.330 -->  00:16:59.494] KF SPEAKER_04
[ 00:17:06.987 -->  00:17:09.636] KG SPEAKER_04
[ 00:17:10.800 -->  00:17:10.817] KH SPEAKER_04
[ 00:17:10.817 -->  00:17:34.155] GV SPEAKER_03
[ 00:17:35.050 -->  00:17:38.729] GW SPEAKER_03
[ 00:17:39.758 -->  00:17:42.981] GX SPEAKER_03
[ 00:17:40.112 -->  00:17:40.450] LH SPEAKER_05
[ 00:17:44.584 -->  00:17:45.158] GY SPEAKER_03
[ 00:17:45.951 -->  00:17:49.073] GZ SPEAKER_03
[ 00:17:49.073 -->  00:17:54.507] DS SPEAKER_02
[ 00:17:53.393 -->  00:17:55.013] HA SPEAKER_03
[ 00:17:56.447 -->  00:18:00.565] NC SPEAKER_06
[ 00:17:58.439 -->  00:17:58.995] HB SPEAKER_03
[ 00:17:58.995 -->  00:18:06.454] CV SPEAKER_01
[ 00:18:00.565 -->  00:18:00.599] HC SPEAKER_03
[ 00:18:02.607 -->  00:18:04.817] HD SPEAKER_03
[ 00:18:05.492 -->  00:18:10.049] HE SPEAKER_03
[ 00:18:13.457 -->  00:18:13.508] DT SPEAKER_02
[ 00:18:13.508 -->  00:18:18.452] ND SPEAKER_06
[ 00:18:16.495 -->  00:18:25.455] HF SPEAKER_03
[ 00:18:18.452 -->  00:18:19.448] PG SPEAKER_07
[ 00:18:19.448 -->  00:18:21.945] NE SPEAKER_06
[ 00:18:28.459 -->  00:18:37.605] HG SPEAKER_03
[ 00:18:29.573 -->  00:18:35.007] PH SPEAKER_07
