Audio File : whispy\mar_28\032823_meeting.wav             
Pipeline : pyannote/speaker-diarization
                  
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting diarization...          
 Time : 05:58:15          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
                
[ 00:14:52.004 -->  00:15:11.444] MV SPEAKER_06
[ 00:14:56.948 -->  00:14:58.787] EL SPEAKER_02
[ 00:15:05.942 -->  00:15:06.499] QC SPEAKER_07
[ 00:15:07.495 -->  00:15:08.001] QD SPEAKER_07
[ 00:15:11.444 -->  00:15:14.954] QE SPEAKER_07
[ 00:15:12.507 -->  00:15:19.476] WY SPEAKER_09
[ 00:15:19.476 -->  00:15:20.944] QF SPEAKER_07
[ 00:15:20.067 -->  00:15:20.995] DL SPEAKER_01
[ 00:15:20.995 -->  00:15:22.007] TO SPEAKER_08
[ 00:15:22.007 -->  00:15:23.948] DM SPEAKER_01
[ 00:15:22.800 -->  00:15:23.999] TP SPEAKER_08
[ 00:15:23.492 -->  00:15:25.500] QG SPEAKER_07
[ 00:15:23.999 -->  00:15:36.992] WZ SPEAKER_09
[ 00:15:25.500 -->  00:15:29.955] DN SPEAKER_01
[ 00:15:32.909 -->  00:15:34.022] QH SPEAKER_07
[ 00:15:44.957 -->  00:15:52.939] XA SPEAKER_09
[ 00:15:47.269 -->  00:15:47.354] QI SPEAKER_07
[ 00:15:49.260 -->  00:15:55.167] QJ SPEAKER_07
[ 00:15:52.939 -->  00:15:53.007] MW SPEAKER_06
[ 00:15:53.007 -->  00:15:57.732] KH SPEAKER_05
[ 00:15:56.939 -->  00:16:05.005] QK SPEAKER_07
[ 00:15:58.322 -->  00:16:00.449] KI SPEAKER_05
[ 00:16:02.102 -->  00:16:18.437] TQ SPEAKER_08
[ 00:16:03.435 -->  00:16:04.937] KJ SPEAKER_05
[ 00:16:11.316 -->  00:16:12.869] AFU SPEAKER_11
[ 00:16:14.894 -->  00:16:14.910] GS SPEAKER_03
[ 00:16:18.437 -->  00:16:18.994] ACW SPEAKER_10
[ 00:16:18.994 -->  00:16:21.272] XB SPEAKER_09
[ 00:16:20.074 -->  00:16:20.361] ACX SPEAKER_10
[ 00:16:21.272 -->  00:16:25.845] AFV SPEAKER_11
[ 00:16:26.841 -->  00:16:28.005] TR SPEAKER_08
[ 00:16:27.938 -->  00:16:42.501] XC SPEAKER_09
[ 00:16:33.945 -->  00:16:36.004] AFW SPEAKER_11
[ 00:16:39.919 -->  00:16:43.935] TS SPEAKER_08
[ 00:16:41.894 -->  00:16:42.130] AFX SPEAKER_11
[ 00:16:42.501 -->  00:16:45.825] KK SPEAKER_05
[ 00:16:43.935 -->  00:16:54.668] ACY SPEAKER_10
[ 00:16:55.326 -->  00:17:16.926] ACZ SPEAKER_10
[ 00:17:05.282 -->  00:17:05.957] DO SPEAKER_01
[ 00:17:08.995 -->  00:17:09.670] AFY SPEAKER_11
[ 00:17:09.670 -->  00:17:09.974] MX SPEAKER_06
[ 00:17:12.488 -->  00:17:12.994] QL SPEAKER_07
[ 00:17:12.522 -->  00:17:13.062] MY SPEAKER_06
[ 00:17:15.981 -->  00:17:16.234] AE SPEAKER_00
[ 00:17:16.234 -->  00:17:16.369] MZ SPEAKER_06
[ 00:17:17.888 -->  00:17:23.440] ADA SPEAKER_10
[ 00:17:19.272 -->  00:17:20.672] AF SPEAKER_00
[ 00:17:23.440 -->  00:17:36.754] TT SPEAKER_08
[ 00:17:24.165 -->  00:17:25.701] ADB SPEAKER_10
[ 00:17:35.674 -->  00:17:40.062] AFZ SPEAKER_11
[ 00:17:40.956 -->  00:17:44.753] AGA SPEAKER_11
[ 00:17:43.740 -->  00:17:47.504] TU SPEAKER_08
[ 00:17:45.495 -->  00:17:46.879] AGB SPEAKER_11
[ 00:17:47.504 -->  00:18:00.447] AGC SPEAKER_11
[ 00:17:49.410 -->  00:17:49.444] TV SPEAKER_08
[ 00:17:49.444 -->  00:17:53.427] QM SPEAKER_07
[ 00:18:00.447 -->  00:18:07.939] DP SPEAKER_01
[ 00:18:02.286 -->  00:18:02.455] ADC SPEAKER_10
[ 00:18:04.159 -->  00:18:05.965] ADD SPEAKER_10
[ 00:18:07.332 -->  00:18:16.022] ADE SPEAKER_10
[ 00:18:08.952 -->  00:18:10.622] DQ SPEAKER_01
[ 00:18:16.630 -->  00:18:19.904] ADF SPEAKER_10
[ 00:18:20.207 -->  00:18:20.241] NA SPEAKER_06
[ 00:18:20.241 -->  00:18:20.494] QN SPEAKER_07
[ 00:18:20.494 -->  00:18:24.494] XD SPEAKER_09
[ 00:18:24.055 -->  00:18:26.198] NB SPEAKER_06
[ 00:18:24.494 -->  00:18:27.801] ADG SPEAKER_10
[ 00:18:29.286 -->  00:18:29.944] ADH SPEAKER_10
[ 00:18:29.337 -->  00:18:30.940] GT SPEAKER_03
[ 00:18:29.944 -->  00:18:48.507] TW SPEAKER_08
[ 00:18:29.995 -->  00:18:30.501] XE SPEAKER_09
[ 00:18:33.994 -->  00:18:34.754] AGD SPEAKER_11
[ 00:18:41.892 -->  00:18:42.499] GU SPEAKER_03
[ 00:18:48.507 -->  00:18:52.995] XF SPEAKER_09
[ 00:18:56.489 -->  00:19:39.992] QO SPEAKER_07
[ 00:18:58.463 -->  00:19:00.134] NC SPEAKER_06
[ 00:19:03.340 -->  00:19:03.458] GV SPEAKER_03
[ 00:19:17.886 -->  00:19:20.451] ND SPEAKER_06
[ 00:19:22.763 -->  00:19:24.940] NE SPEAKER_06
